rowid,permanent_identifier,comid,resolution,gnis_id,gnis_name,area_sq_km,reachcode,ftype,fcode,vpuid,data_group,dist_m,location_type,Station,Description,Channel,Slope,notes,dist_to_shore,Latitude,Longitude
1,128076560,23001900235323,2,NA,NA,0.034,10190007014581,390,39004,1019,CLP,75.32770696458583,poi_center,NA,NA,NA,NA,NA,NA,40.443824852303365,-104.71408766417633
2,128075647,23001900234085,2,NA,NA,0.024,10190007002317,390,39004,1019,CLP,70.62538546718577,poi_center,NA,NA,NA,NA,NA,NA,40.71220636594908,-105.0625884893857
3,128075906,23001900234917,2,NA,NA,0.015000000000000001,10190007014142,390,39004,1019,CLP,33.09436478033308,poi_center,NA,NA,NA,NA,NA,NA,40.63374914876546,-105.17177164439487
4,128076260,23001900234491,2,NA,NA,0.041,10190007002477,390,39004,1019,CLP,85.35122477615896,poi_center,NA,NA,NA,NA,NA,NA,40.56279326588654,-104.97308776816142
5,128076320,23001900234492,2,NA,NA,0.012,10190007002504,390,39004,1019,CLP,39.05165249440541,poi_center,NA,NA,NA,NA,NA,NA,40.55655507329413,-104.80168785873067
6,128075841,23001900234916,2,00199735,Windsor Reservoir Number 8,1.562,10190007002371,390,39009,1019,CLP,533.4302748836111,poi_center,NA,NA,NA,NA,NA,NA,40.6598846354288,-105.04784202918835
7,128075982,23001900233241,2,NA,NA,0.023,10190007002401,390,39001,1019,CLP,69.97345399787466,poi_center,NA,NA,NA,NA,NA,NA,40.628154463328976,-104.96822300799406
8,128076295,23001900234928,2,NA,NA,0.011000000000000001,10190007013231,436,43612,1019,CLP,41.73833749226863,poi_center,NA,NA,NA,NA,NA,NA,40.55081253311832,-105.00715767968492
9,128075210,23001900233659,2,00201623,Mountain Supply Reservoir Number 1,0.132,10190007002623,390,39001,1019,CLP,167.8763955759529,poi_center,NA,NA,NA,NA,NA,NA,40.909792784873424,-105.04679735580363
10,128075265,23001900233660,2,NA,NA,0.014,10190007002226,390,39001,1019,CLP,54.87199814654935,poi_center,NA,NA,NA,NA,NA,NA,40.84468086739693,-105.51042185551543
11,128076479,23001900237053,2,NA,NA,0.14600000000000002,10190007002561,390,39004,1019,CLP,189.5861008430548,poi_center,NA,NA,NA,NA,NA,NA,40.493106144528056,-105.02555265162155
12,128075514,23001900233236,2,NA,NA,0.036000000000000004,10190007002280,390,39001,1019,CLP,81.31107847501016,poi_center,NA,NA,NA,NA,NA,NA,40.75923801652674,-105.04895772131505
13,128076082,23001900234920,2,00201279,Pennock Creek Reservoir,0.07300000000000001,10190007002431,390,39004,1019,CLP,80.03731840735759,poi_center,NA,NA,NA,NA,NA,NA,40.56112542675761,-105.58033985597409
14,128076188,23001900233243,2,NA,NA,0.013000000000000001,10190007002458,390,39004,1019,CLP,45.42852597969883,poi_center,NA,NA,NA,NA,NA,NA,40.57152611795456,-105.03443977748142
15,128076255,23001900233244,2,NA,NA,0.021,10190007002474,390,39009,1019,CLP,55.87711389453464,poi_center,NA,NA,NA,NA,NA,NA,40.571991414473615,-104.85004313400223
16,128076366,23001900233245,2,NA,NA,0.013000000000000001,10190007014465,390,39004,1019,CLP,43.073260476875674,poi_center,NA,NA,NA,NA,NA,NA,40.528008493250766,-105.0445977243161
17,128076411,23001900233246,2,NA,NA,0.014,10190007014500,390,39004,1019,CLP,44.52848598360952,poi_center,NA,NA,NA,NA,NA,NA,40.469029191862134,-105.68778839241567
18,128074946,23001900235301,2,NA,NA,0.033,10190007002216,390,39004,1019,CLP,55.114396012246075,poi_center,NA,NA,NA,NA,NA,NA,41.03367034991102,-105.28846587658379
19,128076414,23001900234929,2,00180532,Schneider Lake,0.033,10190007002532,390,39004,1019,CLP,58.786002937311366,poi_center,NA,NA,NA,NA,NA,NA,40.5286709755267,-104.82867171736535
20,128076060,23001900234087,2,NA,NA,0.066,10190007014254,390,39004,1019,CLP,117.11131956786414,poi_center,NA,NA,NA,NA,NA,NA,40.60347074013376,-105.10202558802325
21,128076280,23001900234089,2,00180500,Smith Reservoir,0.07100000000000001,10190007002485,436,43613,1019,CLP,142.64608943101584,poi_center,NA,NA,NA,NA,NA,NA,40.560096372205344,-104.9305036343745
22,128076358,23001900234092,2,00180524,King Lake,0.032,10190007002519,390,39004,1019,CLP,51.83588530642425,poi_center,NA,NA,NA,NA,NA,NA,40.54443514292584,-104.80713952286456
23,128075214,23001900237035,2,NA,NA,0.03,10190007013631,390,39001,1019,CLP,72.59720079555078,poi_center,NA,NA,NA,NA,NA,NA,40.8757628458714,-105.4830583608023
24,128075533,23001900237040,2,NA,NA,0.043000000000000003,10190007013884,390,39001,1019,CLP,63.70763664809853,poi_center,NA,NA,NA,NA,NA,NA,40.74784586065236,-105.10111975728788
